name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
South Africa,2022-01-26,27.9,16.2,21.9,28.3,16.2,21.9,14.2,63.1,0.5,100,12.5,rain,0,0,37.1,21.3,61.4,1020.6,67.2,12,241.9,21.1,9,10,2022-01-26T05:38:11,2022-01-26T19:01:06,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,FAGM,68264099999,E0397,FAWB,68263099999,68263599999,68269099999,68267299999,FAWK,FALA,FAJB,68346399999,FAOR,F8815"
South Africa,2022-01-27,27.6,18.1,22.4,28.6,18.1,22.4,16.5,70.5,0.985,100,4.17,rain,0,0,29.5,17.5,74.1,1019.4,78.5,15.6,150.8,13,6,10,2022-01-27T05:38:57,2022-01-27T19:00:45,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-01-28,28.3,17.6,21.5,29.9,17.6,21.6,17.8,80.7,20.619,100,8.33,rain,0,0,61.2,26.3,58,1017.8,78.9,13.9,132.9,11.6,5,10,2022-01-28T05:39:43,2022-01-28T19:00:22,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,FALA,68264099999,FAWB,68263099999,68269099999,68263599999,FAOR,F8815,FAWK"
South Africa,2022-01-29,21.9,15.8,19.1,21.9,15.8,19.1,15.6,81.2,15.079,100,8.33,rain,0,0,55.4,28,103.2,1020,85.9,15.6,118.9,10.3,6,10,2022-01-29T05:40:29,2022-01-29T18:59:58,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-01-30,23.5,16.5,19.5,23.5,16.5,19.5,16.5,83,1.982,100,4.17,rain,0,0,27,15.9,84.9,1021,79.5,15.7,129.5,11.4,5,10,2022-01-30T05:41:15,2022-01-30T18:59:32,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-01-31,26.8,17.1,20.8,27.4,17.1,20.8,15.5,73.9,0.273,100,8.33,rain,0,0,20.7,14.8,50.8,1020.1,56.3,15.8,229.5,20,10,10,2022-01-31T05:42:00,2022-01-31T18:59:05,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,FALA,68264099999,FASI,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-01,29.1,14.9,20.9,28.9,14.9,20.9,13.8,66.6,0,0,0,,0,0,32.4,15.4,47.7,1019.7,55.6,16.5,254.6,22,9,10,2022-02-01T05:42:45,2022-02-01T18:58:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-02,30.7,16.2,23,31.4,16.2,23.1,15.7,65.5,0,0,0,,0,0,18.4,11.5,24.8,1018.8,44.4,16.2,266.3,23.1,9,10,2022-02-02T05:43:30,2022-02-02T18:58:07,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-03,30.4,18.4,24.6,31.2,18.4,24.8,16.3,62,0,0,0,,0,0,20.9,24.6,274.9,1018.5,23,14.3,292.6,25.3,9,10,2022-02-03T05:44:14,2022-02-03T18:57:36,0.07,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"68264399999,68264099999,FAGM,FAWB,68263099999,68263599999,68269099999,68267299999,FAWK,FALA,FAJB,68346399999,F8815,FAOR"
South Africa,2022-02-04,28.8,16.3,19.9,29.6,16.3,20,15.8,78.5,22.762,100,4.17,rain,0,0,59.2,30.4,131.4,1020,67.2,8.8,125.6,10.7,9,30,2022-02-04T05:44:58,2022-02-04T18:57:03,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68264399999,68264099999,FAWB,68263099999,68263599999,68269099999,68267299999,68267499999,FAWK,FALA,FASI,68361099999,FAJB,FAOR,F8815"
